exp,mode,lambda,R2_mean,R2_std
E2,fixed_train,0.0,-9.255253791809082,6.853138972812985
E2,fixed_train,0.1,-15.969415982564291,0.9343287994947531
E2,fixed_train,0.2,-14.845861752827963,8.085340405840787
E2,fixed_train,0.3,-12.268640677134195,9.1603637105263
E2,fixed_train,0.5,-11.546672185262045,6.638263550217028
E2,fixed_train,1.0,-12.791091918945312,3.0904908255653663
E2,adaptive,0.0,-19.457972526550293,11.120539072928228
E2,adaptive,0.1,-13.91312567392985,1.3996068566723314
E2,adaptive,0.2,-13.001589059829712,8.07332164162382
E2,adaptive,0.3,-21.109745025634766,2.268796527569801
E2,adaptive,0.5,-6.2724677721659345,2.363569188675491
E2,adaptive,1.0,-18.44985802968343,3.9357072376703464
E5,fixed_train,0.0,-52.74235773086548,65.01601171340074
E5,fixed_train,0.1,-4.998806476593018,1.5310283677640668
E5,fixed_train,0.2,-13.304308811823526,15.57900454149372
E5,fixed_train,0.3,-3.3494961659113565,2.111529927128241
E5,fixed_train,0.5,-10.42746365070343,12.17569028786415
E5,fixed_train,1.0,-5.889062404632568,2.850054281652298
E5,adaptive,0.0,-8.203756332397461,6.965087426963091
E5,adaptive,0.1,-2.520376523335775,1.334736170911908
E5,adaptive,0.2,-5.480685313542684,2.5281159380171383
E5,adaptive,0.3,-7.8072883288065595,3.29663596200976
E5,adaptive,0.5,-6.927890141805013,3.4041713950990156
E5,adaptive,1.0,-2.6315898100535073,1.0912198169682634
